Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
August-2004,492.00,504.90,448.45,475.55,61289515,492626,29228553197.00,8872143,14.48,56.45,-16.45
September-2004,478.00,519.95,454.00,518.20,48760917,401495,24113319544.00,7462956,15.31,65.95,40.20
October-2004,518.00,567.00,512.70,529.25,55973302,463639,30511253803.00,11083977,19.80,54.30,11.25
November-2004,532.40,552.40,487.00,516.75,58745101,472147,30931836097.00,9634676,16.40,65.40,-15.65
December-2004,520.50,548.00,472.30,533.80,85633626,681440,43608912674.00,15522957,18.13,75.70,13.30
January-2005,520.05,553.80,498.20,532.65,69774660,398234,36250853079.00,28592512,40.98,55.60,12.60
February-2005,535.00,559.90,521.00,556.05,42132031,317977,22866767167.00,7510700,17.83,38.90,21.05
March-2005,557.00,600.90,539.25,545.95,55873373,408433,31682113384.00,11835787,21.18,61.65,-11.05
April-2005,545.00,577.00,512.10,527.70,38268181,299892,20899223122.00,5592547,14.61,64.90,-17.30
May-2005,527.00,557.20,515.45,535.25,34668806,251737,18558139391.00,7167380,20.67,41.75,8.25
June-2005,537.00,675.00,528.65,641.90,69695516,480629,42494869239.00,18194477,26.11,146.35,104.90
July-2005,642.05,711.35,609.05,702.90,45802339,318049,30179496540.00,16703782,36.47,102.30,60.85
August-2005,698.00,760.00,683.20,719.55,70458472,496949,50616722155.00,16350782,23.21,76.80,21.55
September-2005,719.00,813.50,715.00,793.50,50579523,348269,38690940228.00,12775375,25.26,98.50,74.50
October-2005,793.00,810.00,737.00,762.55,55254709,413873,42574578992.00,10664875,19.30,73.00,-30.45
November-2005,800.00,900.00,757.20,832.90,39827259,360316,32597819052.00,8996661,22.59,142.80,32.90
December-2005,833.90,901.00,827.50,889.65,73139209,413776,63201962773.00,39251915,53.67,73.50,55.75
January-2006,893.45,937.50,685.30,713.70,106287740,802603,85045867311.00,30167794,28.38,252.20,-179.75
February-2006,715.00,724.95,675.10,708.75,31218020,280590,22099710153.00,9580328,30.69,49.85,-6.25
March-2006,708.00,808.50,703.20,796.25,112806017,336519,88164821980.00,90882925,80.57,105.30,88.25
April-2006,796.00,1029.45,796.00,1021.70,40663661,374667,37508903169.00,11698414,28.77,233.45,225.70
