Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
August-2004,1561.00,1589.90,1473.10,1574.90,8792948,253108,13486700710.00,2045596,23.26,116.80,13.90
September-2004,1580.00,1712.00,1575.00,1695.20,9796274,235495,16183490103.00,3606194,36.81,137.00,115.20
October-2004,1697.90,1958.00,1679.00,1906.40,10887006,283513,19395007707.00,3724110,34.21,279.00,208.50
November-2004,1908.00,2167.00,1895.00,2148.35,7463532,206449,15074168970.00,2131476,28.56,272.00,240.35
December-2004,2160.00,2160.00,2014.00,2089.00,5812874,181873,12041565405.00,1614682,27.78,146.00,-71.00
January-2005,2099.00,2125.00,1850.00,2067.25,8416581,265294,16732256696.00,2334213,27.73,275.00,-31.75
February-2005,2075.00,2247.00,2018.50,2237.15,6294130,179332,13300873089.00,1571342,24.97,228.50,162.15
March-2005,2230.00,2294.50,2054.00,2252.55,4577925,124561,10109067190.00,1471763,32.15,240.50,22.55
April-2005,2249.00,2270.00,1876.10,1887.35,6564335,180072,13157760072.00,2130015,32.45,393.90,-361.65
May-2005,1890.00,2260.10,1890.00,2250.70,6531344,150246,13672799684.00,2402945,36.79,370.10,360.70
June-2005,2250.00,2413.00,2168.00,2357.65,5356447,142103,12311357356.00,1717777,32.07,245.00,107.65
July-2005,2305.00,2409.00,2122.10,2269.20,5311807,141433,11964108538.00,2069949,38.97,286.90,-35.80
August-2005,2249.00,2389.00,2232.00,2376.25,3462475,83875,7954627356.00,1202668,34.73,157.00,127.25
September-2005,2405.00,2545.00,2350.00,2517.00,3406870,88000,8342452784.00,1308001,38.39,195.00,112.00
October-2005,2532.20,2727.00,2401.00,2523.90,6761034,194412,17483567803.00,2028892,30.01,326.00,-8.30
November-2005,2600.00,2767.00,2498.55,2684.10,4583875,126755,12315552532.00,1552933,33.88,268.45,84.10
December-2005,2695.00,3039.70,2667.00,2996.75,5702692,157367,16572765837.00,2365534,41.48,372.70,301.75
January-2006,3000.00,3075.00,2705.55,2879.70,6351093,181465,18230418428.00,2934083,46.20,369.45,-120.30
February-2006,2890.00,2928.00,2750.00,2828.60,4536869,118157,12821473808.00,2130344,46.96,178.00,-61.40
March-2006,2825.00,3072.00,2775.00,2980.85,5543632,144669,16124094025.00,2371646,42.78,297.00,155.85
April-2006,3006.00,3400.00,2988.00,3177.50,6364377,287241,20229399196.00,2883048,45.30,412.00,171.50
May-2006,3185.00,3284.80,2775.00,2908.05,4360424,186270,13280506470.00,2071102,47.50,509.80,-276.95
June-2006,2950.00,3090.00,2450.00,3077.55,5538709,265433,15470008487.00,2279442,41.15,640.00,127.55
July-2006,3100.00,3400.00,1572.10,1653.90,7413066,315930,16252988313.00,3136413,42.31,1827.90,-1446.10
August-2006,1660.00,1819.00,1641.00,1808.80,5439160,177532,9383290049.00,2406651,44.25,178.00,148.80
September-2006,1807.00,1874.70,1723.00,1847.90,4085075,118092,7411354615.00,2353627,57.62,151.70,40.90
October-2006,1842.00,2151.00,1797.05,2094.80,6712809,206543,13463338946.00,3181563,47.40,353.95,252.80
November-2006,2109.70,2401.00,2060.55,2180.45,5180127,160520,11286651800.00,2626601,50.71,340.45,70.75
December-2006,2200.00,2280.00,2131.30,2240.50,4122430,137480,9065564689.00,2077486,50.39,148.70,40.50
January-2007,2242.00,2324.95,2100.00,2244.45,5654599,210379,12522003856.00,2893564,51.17,224.95,2.45
February-2007,2244.45,2439.00,2053.00,2078.35,4317118,165181,9739034128.00,2212870,51.26,386.00,-166.10
March-2007,2100.00,2183.25,1959.00,2012.60,6554512,302214,13543615570.00,2807130,42.83,224.25,-87.40
April-2007,2000.00,2140.00,1912.00,2049.35,6795665,318848,13833605998.00,2616943,38.51,228.00,49.35
May-2007,2080.00,2099.00,1900.00,1920.25,6744729,266827,13297999123.00,3405569,50.49,199.00,-159.75
